event_id,user_id,event_type,product_id,product_name,price,timestamp
296258f1-1271-4657-bdc2-4c4215f5720a,39137c6f-3cc4-42f0-b2d9-7ecdfa86744b,purchase,aceb9071-9907-4037-8045-2541d6245269,Guy And,2.48,2025-03-22T19:39:01
d4343a5e-d89e-4cd9-a304-21423b422de5,13e0760f-eb28-40e7-a009-2ab790cdc63b,view,83f233fd-c4df-4348-8b98-46bb67ac1804,Kid Mission,55.54,2025-03-06T00:05:50
bc049c7d-299a-4e45-acfa-4d7bb22035d1,857774bd-9438-4e2a-a807-f551754f14ae,view,5d22916f-8652-44e2-86b8-794a9fc30d6a,Account Follow,98.31,2025-01-14T20:20:12
d6192670-a02c-4591-a8ca-2c3042d58a96,1b1d963f-80ec-4b80-ad05-10609cb160fe,view,e5547e26-6f21-4795-8709-903e15234d61,People Occur,91.53,2025-02-09T23:21:15
219862ed-c4e0-4c8b-841f-b425e8aa4487,d7288566-291b-43f9-b035-02aaf4d8f66d,purchase,24ac0a31-fa80-49b2-a457-b228c94c3b42,Amount Radio,17.21,2025-01-03T22:49:59
5fc1ab7a-43e9-46d3-92bc-e5229358826c,c1a089ee-8592-4df3-b0e4-06066c4a5c4e,view,1805b31f-977c-451c-986e-ad58912c6e57,Nor Wear,82.21,2025-04-13T04:57:50
4d5fb7cf-e271-4ea2-9504-c58b15c3114b,99adc093-a553-45d7-8b84-edd043ef0b03,purchase,a6d01578-81c5-48a8-96c5-de119899c2f8,Usually Picture,77.38,2025-04-09T17:51:00
70443667-3dab-4de9-8329-a60848533346,f6fe69c1-dbda-4c34-9844-f357cef20181,purchase,e47b82a1-f804-430b-bb5d-165875a2b94b,Activity Adult,18.71,2025-01-06T12:18:53
6747b594-2e77-4ba5-acbb-23cc0292509c,ee59c0dc-1f7a-4b13-ab4d-caff7b70366f,view,257b1335-81be-4dd9-8f6c-7a02022fb272,Care Thus,25.6,2025-03-30T13:10:24
1e7deaf4-faf8-4a21-92f0-c80b934dda6b,1a67a606-5e54-4920-b307-5883b77e991e,purchase,3d0d49ad-f17d-4e9f-b201-82bf5c03c548,Sure Moment,42.18,2025-03-09T21:09:17
